x,y
206,378
199,379
192,386
182,388
179,392
174,395
168,404
163,409
158,418
156,425
155,428
155,434
156,440
158,441
158,443
155,455
159,468
162,477
165,489
169,497
175,503
182,506
188,512
182,503
184,495
180,487
179,480
178,471
178,465
178,455
185,452
188,446
197,434
202,427
202,421
212,413
222,411
228,402
236,391
224,386
210,380
214,380
222,380
236,380
227,374
211,371
219,372
273,386
269,397
266,412
267,424
267,431
269,441
272,450
279,460
286,472
296,482
302,491
315,497
323,499
331,501
343,503
352,503
352,503
345,497
342,490
335,480
328,471
324,464
315,456
314,449
310,441
310,435
310,427
309,417
312,408
313,401
310,393
311,380
307,374
301,373
294,372
286,372
284,374
279,379
317,388
211,339
220,340
228,341
233,340
238,336
246,330
249,322
246,309
242,305
235,303
206,334
191,336
80,360
88,357
94,348
105,344
113,338
119,333
132,330
139,327
144,326
154,324
163,322
171,321
181,323
186,324
194,327
197,329
206,337
77,351
81,345
89,333
95,327
101,323
113,315
119,310
135,304
155,298
161,297
170,297
179,298
188,297
195,297
201,297
214,295
224,295
232,297
328,349
334,349
342,349
351,349
366,351
375,352
381,355
387,357
395,359
404,365
410,366
420,378
430,388
441,399
444,401
286,297
278,299
277,310
326,352
319,353
312,344
312,339
312,332
315,328
321,326
327,326
337,326
317,323
317,323
322,317
326,316
337,314
345,312
352,310
358,310
368,309
382,309
396,312
404,318
408,318
415,321
423,327
429,339
436,351
439,357
443,366
448,378
448,386
448,394
275,310
275,300
273,295
268,288
265,281
260,271
260,269
262,260
262,254
261,248
268,242
276,235
280,232
282,225
285,220
293,209
311,203
323,200
333,198
345,196
353,196
366,194
305,205
295,213
280,301
283,312
290,313
292,307
298,302
312,298
305,292
307,284
303,301
295,309
309,288
304,282
304,270
304,262
307,256
312,248
319,241
325,238
333,232
344,223
357,216
364,209
364,200
346,218
340,228
145,297
138,299
126,307
114,317
110,318
105,322
91,332
88,336
85,339
86,355
102,341
97,334
94,340
94,342
100,335
110,333
129,325
116,322
111,329
104,335
120,328
126,321
123,314
133,312
134,305
147,308
128,326
139,328
142,320
138,320
133,319
146,319
155,316
156,310
150,308
159,306
172,304
180,304
178,314
166,314
179,315
185,316
194,316
202,320
193,309
197,308
205,309
206,316
213,318
215,324
209,326
217,329
228,331
224,320
222,312
212,306
222,303
176,308
166,313
143,312
196,318
218,322
227,323
220,333
236,328
234,319
233,313
226,309
240,319
204,311
189,306
275,287
282,288
287,295
294,297
294,290
296,283
292,278
271,306
271,297
271,297
267,287
264,279
267,273
271,260
273,253
279,253
285,261
276,272
284,279
271,280
280,280
288,272
291,266
295,268
276,268
285,268
280,258
273,256
279,245
291,229
292,235
287,244
285,251
295,255
299,250
298,250
289,247
298,257
296,268
297,247
307,238
297,232
297,228
301,223
292,242
301,243
311,233
311,226
314,211
308,213
304,218
298,218
308,220
302,232
310,238
316,238
323,232
327,226
333,222
327,211
318,208
327,211
318,226
318,219
327,219
338,215
341,209
333,205
347,205
353,202
357,202
353,208
354,209
207,390
203,391
201,393
198,396
192,397
189,400
178,410
176,413
172,423
175,429
192,431
195,418
191,419
192,412
207,404
213,401
222,394
218,394
208,398
201,400
188,413
170,426
159,437
167,445
184,443
188,429
178,436
165,457
165,472
169,481
172,490
175,494
185,498
186,505
88,351
187,432
179,424
167,455
171,466
172,439
165,428
178,446
182,403
172,413
191,412
196,405
205,392
210,385
215,394
216,400
215,406
211,413
204,414
221,399
228,389
230,384
285,397
275,398
273,408
280,409
281,401
275,399
281,390
288,385
293,384
303,384
295,380
301,379
302,382
304,388
303,397
296,398
295,398
281,409
277,421
271,430
280,430
287,418
294,408
296,400
302,389
303,407
301,414
303,418
297,430
296,437
283,438
289,435
296,423
290,419
283,439
275,442
283,450
294,467
294,467
288,461
294,453
300,449
305,437
302,436
295,445
295,457
295,472
303,478
308,480
314,485
322,486
316,472
306,470
304,460
306,451
309,459
313,469
320,472
330,488
329,494
323,494
331,495
331,484
323,479
172,452
159,465
164,456
172,447
164,448
183,402
184,426
184,417
167,421
330,341
323,338
335,334
319,338
319,351
321,341
329,339
328,332
334,332
336,326
338,314
337,320
333,321
340,322
348,322
359,322
347,339
338,338
347,341
340,341
334,342
341,337
346,334
348,332
340,330
353,329
355,340
351,346
357,346
362,348
362,338
358,328
356,322
356,317
364,319
376,321
376,319
372,326
368,329
370,342
378,344
393,344
381,338
375,335
365,336
374,347
383,348
391,351
389,339
386,333
384,327
387,317
375,315
368,315
378,329
387,330
399,333
398,328
392,325
396,324
403,324
411,330
410,337
403,344
401,344
406,344
403,349
396,353
404,353
411,354
411,354
407,357
413,358
419,365
422,367
430,372
428,378
418,370
425,378
434,382
439,389
443,391
442,384
440,377
439,369
433,365
424,358
423,347
413,343
423,339
420,347
414,347
418,337
428,346
431,354
424,363
406,338
398,337
292,400
288,407
280,422
292,427
291,446
291,453
308,466
308,468
310,476
315,488
309,492
208,301
265,240
272,229
283,224
290,218
295,224
289,235
276,249
283,454
297,465
